날짜,요일,유료일계,무료일계,일합계
20220101,토,831,212,1043
20220102,일,780,304,1084
20220103,월,198,126,324
20220104,화,177,240,417
20220105,수,166,183,349
20220106,목,712,221,933
20220107,금,304,159,463
20220108,토,1162,269,1431
20220109,일,911,205,1116
20220110,월,173,194,367
20220111,화,110,139,249
20220112,수,60,79,139
20220113,목,1157,119,1276
20220114,금,129,95,224
20220115,토,1122,311,1433
20220116,일,1063,199,1262
20220117,월,168,115,283
20220118,화,203,155,358
20220119,수,67,173,240
20220120,목,160,167,327
20220121,금,225,161,386
20220122,토,1583,299,1882
20220123,일,2461,344,2805
20220124,월,518,228,746
20220125,화,141,126,267
20220126,수,359,199,558
20220127,목,303,173,476
20220128,금,299,127,426
20220129,토,968,269,1237
20220130,일,1657,294,1951
20220131,월,2480,275,2755
20220201,화,893,203,1096
20220202,수,1341,310,1651
20220203,목,448,204,652
20220204,금,246,128,374
20220205,토,378,131,509
20220206,일,663,197,860
20220207,월,168,107,275
20220208,화,318,273,591
20220209,수,368,196,564
20220210,목,452,252,704
20220211,금,538,217,755
20220212,토,2483,392,2875
20220213,일,3836,491,4327
20220214,월,536,185,721
20220215,화,2215,135,2350
20220216,수,146,136,282
20220217,목,101,114,215
20220218,금,439,160,599
20220219,토,1684,329,2013
20220220,일,1502,175,1677
20220221,월,242,122,364
20220222,화,213,167,380
20220223,수,189,148,337
20220224,목,449,207,656
20220225,금,999,255,1254
20220226,토,1570,377,1947
20220227,일,5702,662,6364
20220228,월,3087,566,3653
20220301,화,3825,660,4485
20220302,수,655,247,902
20220303,목,624,303,927
20220304,금,391,223,614
20220305,토,2435,339,2774
20220306,일,4457,469,4926
20220307,월,516,239,755
20220308,화,718,378,1096
20220309,수,10874,1290,12164
20220310,목,775,269,1044
20220311,금,1059,381,1440
20220312,토,9075,1289,10364
20220313,일,1218,179,1397
20220314,월,54,81,135
20220315,화,910,377,1287
20220316,수,1120,400,1520
20220317,목,1991,292,2283
20220318,금,394,162,556
20220319,토,363,141,504
20220320,일,6243,1485,7728
20220321,월,1016,243,1259
20220322,화,953,395,1348
20220323,수,567,210,777
20220324,목,726,353,1079
20220325,금,904,281,1185
20220326,토,3292,323,3615
20220327,일,14500,1130,15630
20220328,월,3221,412,3633
20220329,화,1706,683,2389
20220330,수,470,200,670
20220331,목,1116,400,1516
20220401,금,2633,461,3094
20220402,토,17085,1995,19080
20220403,일,17934,2434,20368
20220404,월,2067,549,2616
20220405,화,1732,561,2293
20220406,수,2014,621,2635
20220407,목,1788,637,2425
20220408,금,4104,1264,5368
20220409,토,20961,2004,22965
20220410,일,22510,1786,24296
20220411,월,4664,1389,6053
20220412,화,3030,1731,4761
20220413,수,542,289,831
20220414,목,1367,805,2172
20220415,금,3580,1506,5086
20220416,토,19467,2706,22173
20220417,일,18136,4103,22239
20220418,월,2257,865,3122
20220419,화,4138,1009,5147
20220420,수,2090,1139,3229
20220421,목,1974,1169,3143
20220422,금,1444,727,2171
20220423,토,16394,1935,18329
20220424,일,14741,3199,17940
20220425,월,1977,627,2604
20220426,화,1682,881,2563
20220427,수,1929,1166,3095
20220428,목,2399,1792,4191
20220429,금,2369,816,3185
20220430,토,19108,1585,20693
20220501,일,14575,1732,16307
20220502,월,2825,1068,3893
20220503,화,2122,1472,3594
20220504,수,4037,2384,6421
20220505,목,23141,23240,46381
20220506,금,12082,1585,13667
20220507,토,8816,1284,10100
20220508,일,5771,1116,6887
20220509,월,2285,1065,3350
20220510,화,2030,1428,3458
20220511,수,1904,1495,3399
20220512,목,1723,1800,3523
20220513,금,3956,2081,6037
20220514,토,10905,2019,12924
20220515,일,11418,2245,13663
20220516,월,2339,1542,3881
20220517,화,2009,2375,4384
20220518,수,1697,1520,3217
20220519,목,2961,2911,5872
20220520,금,8779,2889,11668
20220521,토,12635,2958,15593
20220522,일,12915,3059,15974
20220523,월,2351,1976,4327
20220524,화,2473,2630,5103
20220525,수,2651,3149,5800
20220526,목,2634,4026,6660
20220527,금,3955,3191,7146
20220528,토,33006,3219,36225
20220529,일,12463,3127,15590
20220530,월,1925,1952,3877
20220531,화,3044,3230,6274
20220601,수,13783,3270,17053
20220602,목,2431,2400,4831
20220603,금,2378,2048,4426
20220604,토,10161,2172,12333
20220605,일,14440,2124,16564
20220606,월,7312,1970,9282
20220607,화,1817,1755,3572
20220608,수,1424,1699,3123
20220609,목,899,1146,2045
20220610,금,1767,1821,3588
20220611,토,6735,1721,8456
20220612,일,7548,1190,8738
20220613,월,3467,754,4221
20220614,화,1070,1014,2084
20220615,수,312,517,829
20220616,목,1104,980,2084
20220617,금,1401,1055,2456
20220618,토,4954,1128,6082
20220619,일,6121,1111,7232
20220620,월,1016,716,1732
20220621,화,854,652,1506
20220622,수,874,816,1690
20220623,목,159,271,430
20220624,금,813,626,1439
20220625,토,4219,974,5193
20220626,일,18207,622,18829
20220627,월,166,293,459
20220628,화,140,264,404
20220629,수,88,151,239
20220630,목,31,77,108
20220701,금,916,272,1188
20220702,토,2190,555,2745
20220703,일,1562,403,1965
20220704,월,304,212,516
20220705,화,181,278,459
20220706,수,257,279,536
20220707,목,96,184,280
20220708,금,493,250,743
20220709,토,1919,550,2469
20220710,일,1349,373,1722
20220711,월,267,205,472
20220712,화,378,333,711
20220713,수,24,125,149
20220714,목,404,349,753
20220715,금,959,284,1243
20220716,토,1977,460,2437
20220717,일,2806,417,3223
20220718,월,4898,318,5216
20220719,화,473,282,755
20220720,수,496,278,774
20220721,목,375,301,676
20220722,금,438,318,756
20220723,토,10490,428,10918
20220724,일,2591,477,3068
20220725,월,901,307,1208
20220726,화,617,216,833
20220727,수,753,252,1005
20220728,목,783,231,1014
20220729,금,685,169,854
20220730,토,1061,216,1277
20220731,일,632,224,856
20220801,월,1205,212,1417
20220802,화,747,191,938
20220803,수,1067,219,1286
20220804,목,2368,269,2637
20220805,금,827,196,1023
20220806,토,1322,262,1584
20220807,일,1426,271,1697
20220808,월,76,101,177
20220809,화,31,38,69
20220810,수,569,306,875
20220811,목,313,218,531
20220812,금,1085,436,1521
20220813,토,1110,593,1703
20220814,일,4886,746,5632
20220815,월,4005,613,4618
20220816,화,1134,397,1531
20220817,수,931,393,1324
20220818,목,1125,515,1640
20220819,금,763,353,1116
20220820,토,4470,967,5437
20220821,일,4021,669,4690
20220822,월,1038,370,1408
20220823,화,710,427,1137
20220824,수,1031,537,1568
20220825,목,390,413,803
20220826,금,1382,503,1885
20220827,토,14692,1496,16188
20220828,일,13181,1783,14964
20220829,월,618,299,917
20220830,화,54,130,184
20220831,수,1001,677,1678
20220901,목,1411,730,2141
20220902,금,1953,631,2584
20220903,토,12102,1383,13485
20220904,일,461,329,790
20220905,월,3,52,55
20220906,화,994,346,1340
20220907,수,1426,797,2223
20220908,목,1481,576,2057
20220909,금,9795,868,10663
20220910,토,11903,2021,13924
20220911,일,14465,1781,16246
20220912,월,12410,1989,14399
20220913,화,1762,764,2526
20220914,수,856,750,1606
20220915,목,1134,939,2073
20220916,금,1371,961,2332
20220917,토,6696,1264,7960
20220918,일,7861,1151,9012
20220919,월,1199,706,1905
20220920,화,1633,1018,2651
20220921,수,1447,1517,2964
20220922,목,2725,1811,4536
20220923,금,2325,1143,3468
20220924,토,12933,3160,16093
20220925,일,12611,1314,13925
20220926,월,2107,839,2946
20220927,화,6668,940,7608
20220928,수,3799,1036,4835
20220929,목,1319,1311,2630
20220930,금,2629,1831,4460
20221001,토,11954,1831,13785
20221002,일,10964,1107,12071
20221003,월,368,192,560
20221004,화,977,594,1571
20221005,수,1750,1560,3310
20221006,목,1317,1591,2908
20221007,금,2711,1837,4548
20221008,토,15137,2011,17148
20221009,일,1384,365,1749
20221010,월,3021,680,3701
20221011,화,1519,820,2339
20221012,수,2185,1759,3944
20221013,목,2989,2203,5192
20221014,금,3071,1963,5034
20221015,토,13077,1874,14951
20221016,일,11959,1395,13354
20221017,월,1983,961,2944
20221018,화,1449,1456,2905
20221019,수,1641,1546,3187
20221020,목,2214,1967,4181
20221021,금,4136,2203,6339
20221022,토,11865,2168,14033
20221023,일,13719,2015,15734
20221024,월,2138,1062,3200
20221025,화,1705,1392,3097
20221026,수,5406,1850,7256
20221027,목,2616,1866,4482
20221028,금,3862,1787,5649
20221029,토,13553,2862,16415
20221030,일,26574,2035,28609
20221031,월,2521,1396,3917
